"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","769","renders poll carrousel","","Tue Nov 12 01:33:51 GMT 2024","passed","Tue Nov 12 01:33:52 GMT 2024","","","",""
"","484","Alerts on Votes not found for getUserVotes","","Tue Nov 12 01:36:49 GMT 2024","passed","Tue Nov 12 01:36:50 GMT 2024","","","",""
"","84","renders name, description, and status","","Tue Nov 12 01:36:45 GMT 2024","passed","Tue Nov 12 01:36:45 GMT 2024","","","",""
"","0","alerts user when poll creation fails","","Tue Nov 12 01:38:38 GMT 2024","passed","Tue Nov 12 01:38:38 GMT 2024","","","",""
"","1344","Successfully alerts on internal error","","Tue Nov 12 01:32:33 GMT 2024","passed","Tue Nov 12 01:32:35 GMT 2024","","","",""
"","1309","Successfully alerts on internal error","","Tue Nov 12 01:34:01 GMT 2024","passed","Tue Nov 12 01:34:02 GMT 2024","","","",""
"","492","successfully renders table with all votes","","Tue Nov 12 01:37:48 GMT 2024","passed","Tue Nov 12 01:37:49 GMT 2024","","","",""
"","80","renders link to view poll","","Tue Nov 12 01:37:40 GMT 2024","passed","Tue Nov 12 01:37:40 GMT 2024","","","",""
"","30","alerts user when poll voting is already closed","","Tue Nov 12 01:34:36 GMT 2024","broken","Tue Nov 12 01:34:36 GMT 2024","","","",""
"","204","renders polls when they exist","","Tue Nov 12 01:35:49 GMT 2024","passed","Tue Nov 12 01:35:49 GMT 2024","","","",""
"","69","renders no votes & alerts user internal error occurs getting poll results","","Tue Nov 12 01:31:11 GMT 2024","passed","Tue Nov 12 01:31:11 GMT 2024","","","",""
"","1173","Shows Representative information on view representative page","","Tue Nov 12 01:36:16 GMT 2024","passed","Tue Nov 12 01:36:18 GMT 2024","","","",""
"","1268","Successfully alerts on internal error","","Tue Nov 12 01:32:15 GMT 2024","passed","Tue Nov 12 01:32:16 GMT 2024","","","",""
"","78","handles no polls or error","","Tue Nov 12 01:35:16 GMT 2024","passed","Tue Nov 12 01:35:16 GMT 2024","","","",""
"","1406","Alerts user when User not found on view representative page","","Tue Nov 12 01:34:33 GMT 2024","broken","Tue Nov 12 01:34:34 GMT 2024","","","",""
"","125","alerts user when poll ID is invalid","","Tue Nov 12 01:36:09 GMT 2024","passed","Tue Nov 12 01:36:09 GMT 2024","","","",""
"","1305","Successfully alerts when error updating active voter","","Tue Nov 12 01:33:15 GMT 2024","passed","Tue Nov 12 01:33:16 GMT 2024","","","",""
"","0","is not visible for delegates/alternates/observers","","Tue Nov 12 01:38:37 GMT 2024","passed","Tue Nov 12 01:38:37 GMT 2024","","","",""
"","104","shows no representatives found message","","Tue Nov 12 01:37:26 GMT 2024","passed","Tue Nov 12 01:37:26 GMT 2024","","","",""
"","0","alerts user when not all convention locations have submitted a vote","","Tue Nov 12 01:38:30 GMT 2024","passed","Tue Nov 12 01:38:30 GMT 2024","","","",""
"","27","alerts user when poll voting fails to end","","Tue Nov 12 01:34:35 GMT 2024","broken","Tue Nov 12 01:34:35 GMT 2024","","","",""
"","0","is not visible for delegates, alternates, or observers","","Tue Nov 12 01:38:33 GMT 2024","passed","Tue Nov 12 01:38:33 GMT 2024","","","",""
"","128","alerts user when fails to get poll vote count","","Tue Nov 12 01:35:56 GMT 2024","passed","Tue Nov 12 01:35:56 GMT 2024","","","",""
"","68","successfully renders poll results voter","","Tue Nov 12 01:37:59 GMT 2024","passed","Tue Nov 12 01:37:59 GMT 2024","","","",""
"","0","converts UI after poll begins","","Tue Nov 12 01:38:40 GMT 2024","passed","Tue Nov 12 01:38:40 GMT 2024","","","",""
"","0","is visible to a delegate that is the active voter","","Tue Nov 12 01:38:36 GMT 2024","passed","Tue Nov 12 01:38:36 GMT 2024","","","",""
"","98","correctly renders 60 votes","","Tue Nov 12 01:36:31 GMT 2024","passed","Tue Nov 12 01:36:32 GMT 2024","","","",""
"","28","alerts user when poll is not deleted","","Tue Nov 12 01:35:09 GMT 2024","broken","Tue Nov 12 01:35:09 GMT 2024","","","",""
"","76","shows the vote count when found","","Tue Nov 12 01:38:26 GMT 2024","passed","Tue Nov 12 01:38:26 GMT 2024","","","",""
"","0","is not visible to an alternate that is not the active voter","","Tue Nov 12 01:38:31 GMT 2024","passed","Tue Nov 12 01:38:31 GMT 2024","","","",""
